name,chinese_name,description,series,condition,form,subform,target,material,formula,effect
mercury attack,辰星星擊,／水／水行攻擊，點數＝１０,star,"{ ""star"": { ""mercury"": ""mine"" } }",attack,water,-1,"{ ""element"": { ""water"": 1 }, ""count"": 1 }",10,"{ ""attack"": ""point"" }"
mercury formation,辰星淬天陣,／水水金／金行攻擊，點數＝等級總和×３，本回合抽牌＋１，破除水星‧辰星,star,"{ ""star"": { ""mercury"": ""mine"" } }",attack,water,-1,"{ ""element"": { ""water"": 2, ""metal"": 1 }, ""count"": 3 }",sum * 3,"{ ""attack"": ""point"", ""draw_extra"": 1, ""eject"": { ""star"": ""mercury"" } }"
mars summon,熒惑召喚,施展３０點以上熾火時召喚，召喚時破除火星‧熒惑,star,"{ ""rule"": { ""fire formation"": 30 }, ""star"": { ""mars"": ""none"" } }",power,passive,0,{},,"{ ""summon"": { ""star"": ""mars"" }, ""eject"": { ""star"": ""venus"" } }"
transform fire,木化火,組合基礎規則陣法時，可以將一張木行牌視為火行牌,star,"{ ""star"": { ""mars"": ""mine"" } }",power,active,,"{ ""element"": { ""tree"": 1 }, ""count"": 1 }",,"{ ""obtain"": { ""element"": ""fire"" }, ""restrict"": { ""ruleset"": ""basic"" } }"
mars attack,熒惑星擊,／火／火行攻擊，點數＝１０,star,"{ ""star"": { ""mars"": ""mine"" } }",attack,fire,-1,"{ ""element"": { ""fire"": 1 }, ""count"": 1 }",10,"{ ""attack"": ""point"" }"
mars formation,熒惑燎天陣,／火火木／火行攻擊，點數＝等級總和×３，本回合抽牌＋１，破除火星‧熒惑,star,"{ ""star"": { ""mars"": ""mine"" } }",attack,fire,-1,"{ ""element"": { ""fire"": 2, ""tree"": 1 }, ""count"": 3 }",sum * 3,"{ ""attack"": ""point"", ""draw_extra"": 1, ""eject"": { ""star"": ""mars"" } }"
saturn summon,鎮星召喚,施展３０點以上樸土時召喚，召喚時破除水星‧辰星,star,"{ ""rule"": { ""earth formation"": 30 }, ""star"": { ""saturn"": ""none"" } }",power,passive,0,{},,"{ ""summon"": { ""star"": ""saturn"" }, ""eject"": { ""star"": ""mercury"" } }"
transform earth,火化土,組合基礎規則陣法時，可以將一張火行牌視為土行牌,star,"{ ""star"": { ""saturn"": ""mine"" } }",power,active,,"{ ""element"": { ""fire"": 1 }, ""count"": 1 }",,"{ ""obtain"": { ""element"": ""earth"" }, ""restrict"": { ""ruleset"": ""basic"" } }"
saturn attack,鎮星星擊,／土／土行攻擊，點數＝１０,star,"{ ""star"": { ""saturn"": ""mine"" } }",attack,earth,-1,"{ ""element"": { ""earth"": 1 }, ""count"": 1 }",10,"{ ""attack"": ""point"" }"
saturn formation,鎮星堪天陣,／土土火／土行攻擊，點數＝等級總和×３，本回合抽牌＋１，破除土星‧鎮星,star,"{ ""star"": { ""saturn"": ""mine"" } }",attack,earth,-1,"{ ""element"": { ""earth"": 2, ""fire"": 1 }, ""count"": 3 }",sum * 3,"{ ""attack"": ""point"", ""draw_extra"": 1, ""eject"": { ""star"": ""saturn"" } }"
void star,虛空破星術,／三張同級牌／主動術式，破除所有星辰，星辰被破除方扣除２０點生命,star,{},spell,active,,"{ ""level"": { ""same"": 3 }, ""count"": 3 }",,"{ ""eject"": { ""star"": ""all"" }, ""reduce"": { ""point"": 20, ""if"": ""star_eject"" } }"
star connection,五星連珠,／召喚過全部五顆星辰／直接獲得勝利,star,"{ ""history"": [ ""venus"", ""jupiter"", ""mercury"", ""mars"", ""saturn"" ] }",power,passive,,{},,"{ ""win"": true }"
